CDK Global,Senior System Engineer,July 2024 - October 2024
Apple Computer,Senior System Administrator,March 2024 - July 2024
SHEIN,Staff Site Reliability Engineer,December 2022 - August 2023
3M,Senior Site Reliability Engineer,March 2020 - November 2022
TippingPoint,Staff System Architect,March 2012 - June 2019
HostGator.com,Automation and Escalation Engineer,March 2011 - May 2012
RippleTV,System Engineer,October 2008 - January 2010
Walt Disney Internet Group,Site Reliability Engineer,August 2006 - September 2007
Electronic Clearing House,Senior System Administrator,April 2005 - July 2006
GSI Commerce,System Administrator,March 2002 -  February 2005
ReachableCEO Enterprises,Freelancer,January 2001 - December 2024