Gainwell Technologies, Software Engineer, January 2025 - Present
CDK Global,Staff System Engineer/Architect,July 2024 - October 2024
Apple Computer,Staff System Engineer/Architect,March 2024 - July 2024
SHEIN,Senior System Engineer,December 2022 - August 2023
3M,Senior System Engineer,March 2020 - November 2022
TippingPoint,System Engineer,March 2012 - June 2019
HostGator.com,Junior System Engineer,March 2011 - May 2012
RippleTV,Staff System Administrator/Architect,October 2008 - January 2010
Walt Disney Internet Group,Senior System Administrator,August 2006 - September 2007
Electronic Clearing House,System Administrator,April 2005 - July 2006
GSI Commerce,Junior System Administrator,March 2002 -  February 2005
ReachableCEO Enterprises, Software/System Expert For Hire,January 2001 - Present